"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"23","0112","Altoona",1998-09-08,6840000,"Issue Debt",914,406,"Passed","add to elem, school and high school",1
"24","0112","Altoona",2002-05-21,2e+06,"NR",859,514,"Passed","maintaining instructional programs, district buildings and sites",1
"25","0112","Altoona",2014-11-04,2.3e+07,"Issue Debt",2267,1582,"Passed","Issue debt of $23,000,000 to build and equip a new elementary school on District owned property, and to make capital maintenance, safety, and health-related building and site improvements on current campus.",1
"26","0112","Altoona",2023-04-04,2.6e+07,"Issue Debt",1531,1614,"Failed","Buying building and improvement to building and other district-wide maintenance, infrastructure and site improvements.",1
"27","0119","Amery",1996-05-18,1.6e+07,"Issue Debt",1294,1397,"Failed","new 3-5 elem, hs renov, new pool, ADA issues",1
"28","0119","Amery",1996-09-10,14800000,"Issue Debt",NA,NA,"Failed","new 3-5 elem, hs renov, new pool, ADA issues",1
"29","0119","Amery",1997-06-10,7800000,"Issue Debt",1084,1152,"Failed","high school addition & remodeling (4.8),tech. plan (2.1), bus gar (.9)",1
"30","0119","Amery",1997-11-04,7890000,"Issue Debt",1761,1441,"Passed","add to and remodel high school; upgrade technology",1
"31","0119","Amery",2001-10-09,12900000,"Issue Debt",1411,656,"Passed","construct/equip new intermediate school, remove existing intermediate school, repair/improve Lien Elementary school",1
"32","0119","Amery",2022-04-05,3.5e+07,"Issue Debt",1464,1169,"Passed","improvements to the elementary, intermediate, middle and high school buildings and grounds including upgrades and renovations to major building systems; upgrades to safety and security systems; American with Disabilities Act (ADA) compliance renovations; upgrades and improvements to the intermediate and high school sidewalks, drives, and parking lots; upgrades and improvements to building exterior walls, roofing, flooring, lighting, doors and windows; upgrades and remodeling of high school classrooms and labs; and equipment acquisition related to said projects.",1
"33","0119","Amery",2022-04-05,8500000,"Issue Debt",1487,1145,"Passed","elementary school renovations and building additions; safety and security upgrades, upgrading and remodeling elementary classrooms; upgrades and improvements to sidewalks, drives, and parking lots; upgrading and renovating classrooms for the Early Learning Center; and equipment acquisition related to said project.",1
"34","0140","Antigo",2006-09-12,21500000,"Issue Debt",1743,2525,"Failed","To Construct an Elementary Building",1
"35","0140","Antigo",1996-10-08,13500000,"Issue Debt",NA,NA,"Failed","add renov to all 10 dist elem schls, athl field, new pool",1
"36","0140","Antigo",2001-12-11,5200000,"NR",1696,1686,"Passed","maintaining and improving district buildings, sites, instructional programs",1
"37","0140","Antigo",2016-04-05,25900000,"Issue Debt",2617,3879,"Failed","Issue Debt in an amount not to exceed $25,900,000 to build an new elementary school and additions and remodeling at the remaining two elementary schools.",1
"38","0147","Appleton Area",2014-02-18,2.5e+07,"Issue Debt",5119,3632,"Passed","For the public purpose of paying the cost of reconfiguring building entrances and classroom spaces to improve building security and function; updating science and industrial technology education classrooms; purchasing instructional technology for student use; replacing school building windows, generators and electrical service to improve function and energy efficiency; and constructing additional space to meet school operational needs.",1
"39","0147","Appleton Area",2014-02-18,5e+06,"RR - 2014",4641,4090,"Passed","To exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for the 2014-2015 school year and thereafter by $5,000,000 for recurring purposes:  ongoing school building maintenance projects; replacement of inoperable technology; and staff positions to support technology training.",1
"40","0147","Appleton Area",1998-02-17,13960000,"Issue Debt",5771,3775,"Passed","add to and remodel various schools",1
"41","0147","Appleton Area",2022-11-08,5e+06,"RR - 2023",28188,14132,"Passed","We would like to exceed the revenue limit by $5,000,000 annually to fund increased staffing at the K - 2 level, which would allow us to reduce class sizes, add STEM staffing at the elementary and middle levels, and fund expenses for ongoing school building maintenance, cleaning, and utility costs.",1
"42","0154","Arcadia",2011-11-08,23970000,"Issue Debt",546,741,"Failed","paying the cost of constructing and equipping a new elementary/middle school and removal of the existing elementary/middle school",1
"43","0154","Arcadia",2013-04-02,23420000,"Issue Debt",697,912,"Failed","Construction and equipping of new elementary/middle school",1
"44","0154","Arcadia",2013-11-05,1.4e+07,"Issue Debt",556,492,"Passed","12,000,000 construction on a new grade 5-8 school and $2,000,000 update to existing elementary building.",1
"45","0154","Arcadia",1996-10-12,1100000,"Issue Debt",1046,525,"Passed","construct assembly hall in high school",1
"46","0154","Arcadia",1996-10-12,8350000,"Issue Debt",1165,414,"Passed","construct and equip new high school",1
"47","0154","Arcadia",2018-04-03,4e+06,"Issue Debt",796,457,"Passed","Not to exceed 4,000,000 to be used towards a new high school/middle school gymnasium, locker rooms, and weight room to go along with a 12,000,000 donation to add a joint use community center and a 1.2 million donation for an attached public library.",1
"48","0161","Argyle",2016-04-05,6500000,"Issue Debt",562,189,"Passed","General obligation bonds in an amount not to exceed $6,500,000 for the public purpose of paying the cost of a school improvement program at District buildings and grounds consisting of:  HVAC upgrades and improvements; roof and flooring repairs and replacement; additions for technical education classroom and shop space, new storage and office space and a new maintenance and storage garage; remodeling and renovations to classroom space, the Elementary School gymnasium and locker rooms; and acquiring furnishings, fixtures and equipment.",1
"49","0161","Argyle",2016-04-05,2600000,"Issue Debt",389,351,"Passed","General obligation bonds in an amount not to exceed $2,600,000 for the public purpose of paying the cost of constructing a new High School gymnasium, restrooms, office and storage space.",1
"50","2450","Arrowhead UHS",2016-11-08,64700000,"Issue Debt",9168,10900,"Failed","BE IT RESOLVED by the School Board of the Arrowhead Union High School District, Waukesha County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $64,700,000 for the public purpose of paying the cost of a campus-wide school building and improvement program consisting of:  renovations to instructional areas, classrooms, special education, and design, engineering and manufacturing areas; site and storm water management improvements; security, life safety and building infrastructure updates; constructing and equipping a fine arts auditorium, a replacement swimming pool, storage areas and a new science lab as additions to the existing school buildings; and acquisition of furnishings, fixtures and equipment.",1
"51","2450","Arrowhead UHS",2016-11-08,173000,"RR - 2018",8801,11178,"Failed","BE IT RESOLVED by the School Board of the Arrowhead Union High School District, Waukesha County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for the 2018-2019 school year and thereafter by $173,000, for recurring purposes to support the annual operating costs associated with the fine arts auditorium and replacement swimming pool additions.",1
"52","2450","Arrowhead UHS",2017-04-04,36680000,"Issue Debt",2354,3841,"Failed","To issue general obligation bonds in an amount not to exceed $36,680,000 for the public purpose of paying the cost of a campus-wide school building and improvement program consisting of:  renovations to instructional areas, classrooms, special education, and design, engineering and manufacturing areas; site and storm water management improvements; security, life safety and building and technology infrastructure updates; storage areas and a new science lab as additions to the existing school buildings; and acquisition of furnishings, fixtures and equipment..",1
"53","2450","Arrowhead UHS",1997-11-04,2.2e+07,"Issue Debt",1812,2483,"Failed","add to and remodel buildings",1
"54","2450","Arrowhead UHS",1998-04-07,164000,"NR",1596,3203,"Failed","exceed rev cap, 99-00 to 03-04,  for maint. on new gym",1
"55","2450","Arrowhead UHS",1998-04-07,4795000,"Issue Debt",1751,3076,"Failed","gym and locker room at North Campus; technology",1
"56","2450","Arrowhead UHS",2020-11-03,8500000,"NR - 2020",11511,11442,"Passed","To exceed the revenue limit by $1,700,000 per year, for five years, for non-recurring purposes of funding technology, facility and site infrastructure improvements.",1
"57","2450","Arrowhead UHS",1998-04-07,315900,"NR",1919,2906,"Failed","exceed rev cap, 99-00 to 03-04,  for maint. on classrooms",1
"58","2450","Arrowhead UHS",1998-04-07,16995000,"Issue Debt",2312,2552,"Failed","classroom additions; equipment & technology",1
"59","2450","Arrowhead UHS",1999-11-02,19800000,"Issue Debt",3246,2029,"Passed","construct additions, renovate, asbestos abatement, improve security,",1
"60","0170","Ashland",2016-04-05,34360000,"Issue Debt",2675,2204,"Passed","BE IT RESOLVED by the School Board of the School District of Ashland, Ashland and Bayfield Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $34,360,000 for the public purpose of paying the cost of a school building and improvement program at all District facilities and grounds consisting of: additions for classrooms and learning space; remodeling and modernization of facilities; energy efficiency and management system upgrades; technology, safety and security improvements, including secure main entrances; construction of a new fieldhouse; parking and site improvements; and acquiring furnishings, fixtures and equipment.",1
"61","0170","Ashland",1999-11-02,6e+05,"Issue Debt",712,158,"Passed","remodel science labs at h.s. & acquire related equip",1
"62","0182","Ashwaubenon",1998-04-07,12640000,"Issue Debt",1337,1991,"Failed","add to and remodel two elementary schools",1
"63","0182","Ashwaubenon",1999-11-02,11965000,"Issue Debt",2403,815,"Passed","add to, remodel, renovate, & improve h.s., acquire equip",1
"64","0182","Ashwaubenon",2001-09-25,9700000,"Issue Debt",1776,1681,"Passed","adding to, remodeling, renovating, improving Pioneer ES and Valley View ES, complete maintenance projects, site improvements, equipment",1
"65","0182","Ashwaubenon",2001-09-25,294000,"RR - 2001",1481,1975,"Failed","increased operating costs related to proposed renovations at HS and Pioneer and Valley View ES",1
"66","0196","Athens",2006-05-09,3e+05,"Issue Debt",860,519,"Passed","Various maintenance, remodeling, repair, and site improvements.",1
"67","0196","Athens",2006-05-09,1e+05,"Issue Debt",426,944,"Failed","Repair and replace asphalt at high school/middle school site.",1
"68","0196","Athens",1999-11-02,6965000,"Issue Debt",461,502,"Failed","constructing addition to and remodel 6-12 school; acquire equipment/furnishings",1
"69","0196","Athens",2000-04-04,6975000,"Issue Debt",542,557,"Failed","construct addition to & remodel existing 6-12 facility; equip/furnishings/equip",1
"70","0203","Auburndale",2008-02-19,860000,"NR - 2008",681,704,"Failed","Capital Improvements",1
"71","0203","Auburndale",2008-11-04,2e+06,"NR - 2009",1231,1022,"Passed","Exceed revenue limit for five years to sustain educational programs and to pay operational and capital expenses",1
"72","0203","Auburndale",2016-04-05,5e+05,"RR - 2017",971,709,"Passed","Shall the School District of Auburndale be allowed to exceed the revenue limit specified in § 121.91, Wis. Stats., by up to $500,000 commencing with the 2017-2018 school year on a recurring basis; by up to an additional $200,000 in the 2018-2019 school year on a non-recurring basis, making a total of $700,000; by up to an additional $300,000 in the 2019-2020 school year on a non-recurring basis, making a total of $800,000; and by up to an additional $400,000 in the 2020-2021 school year on a non-recurring basis, making a total of $900,000, all for the purpose of maintaining current levels of educational programming, expenditures and operations?",1
"73","0203","Auburndale",2016-04-05,9e+05,"NR - 2018",971,709,"Passed","Shall the School District of Auburndale be allowed to exceed the revenue limit specified in § 121.91, Wis. Stats., by up to $500,000 commencing with the 2017-2018 school year on a recurring basis; by up to an additional $200,000 in the 2018-2019 school year on a non-recurring basis, making a total of $700,000; by up to an additional $300,000 in the 2019-2020 school year on a non-recurring basis, making a total of $800,000; and by up to an additional $400,000 in the 2020-2021 school year on a non-recurring basis, making a total of $900,000, all for the purpose of maintaining current levels of educational programming, expenditures and operations?",1
"74","0203","Auburndale",2020-11-03,6900000,"Issue Debt",1394,1099,"Passed","Issue debt not to exceed $6,900,000 for paying the cost of a district-wide school facility improvement project consisting of:  capital maintenance, building infrastructure, and site improvements at all district facilities; construction of additions and renovations at Auburndale Middle/High School, including for technical education, agriculture, and family and consumer education space and greenhouse replacement; renovations at Auburndale Elementary School, including conversion of the little theater into multipurpose space and upgrades to the playground; and acquisition of furnishings, fixtures and equipment.",1
"75","0203","Auburndale",1997-12-18,2e+06,"Issue Debt",606,470,"Passed","add gymnasium and locker room to high school",1
"76","0203","Auburndale",1997-12-18,4500000,"Issue Debt",781,302,"Passed","add to and remodel elem and high schools. buy land",1
"77","0217","Augusta",2022-11-08,10500000,"Issue Debt",1000,520,"Passed","school facility improvement projects consisting of: construction of additions and renovations at the Elementary and Middle/High school, district-wide capital maintenance, building infrastructure, safety and sit improvements and furnishings, fixtures, and equipment",1
"78","0217","Augusta",2022-11-08,4500000,"Issue Debt",938,573,"Passed","Construction of an addition for and equipping of a new gymnasium and related facility renovations and improvements at the Elementary school.",1
"79","0217","Augusta",1996-10-19,9e+05,"Issue Debt",398,391,"Passed","swimming pool",1
"80","0217","Augusta",1996-10-19,8600000,"Issue Debt",560,248,"Passed","addition and remodel middle sch & technology",1
"81","0217","Augusta",2000-04-04,1990000,"Issue Debt",186,678,"Failed","construct/equip bus garage, auditorium with furnishings, athletic facility and grounds, parking lot expansion, facility improvements, equipment and furnishings for current HS, MS, Elem schools",1
"82","0231","Baldwin-Woodville Area",2008-06-03,16775000,"Issue Debt",445,1348,"Failed","To construct a new intermediate school",1
"83","0231","Baldwin-Woodville Area",2008-06-03,3500000,"Issue Debt",631,1163,"Failed","To construct a new indoor swimming pool facility.",1
"84","0231","Baldwin-Woodville Area",2015-04-07,13950000,"Issue Debt",1051,393,"Passed","For the public purpose of paying the cost of constructing additions and improvements to Greenfield Elementary School, including remodeling projects to improve safety and security; and acquiring fixtures, furnishings and equipment.",1
"85","0231","Baldwin-Woodville Area",2000-12-12,22300000,"Issue Debt",792,659,"Passed","acquire land; demolish portion of existing schools; new MS and equipping; new bus garage; renovate existing elem. School and HS",1
"86","0245","Bangor",2007-02-20,5500000,"Issue Debt",682,220,"Passed","construct addition to and remodel adn renovate Bangor Elementary School including related site work; and acquiring furnishings, fixtures and equipment",1
"87","0245","Bangor",2010-02-16,580000,"Issue Debt",437,157,"Passed","paying the cost of demolition work and rehabilitation, repair and improvement projects for the gym at the old high school building and site",1
"88","0245","Bangor",2022-11-08,2.4e+07,"Issue Debt",1215,635,"Passed","Capital Referendum",1
"89","0245","Bangor",1998-04-07,450000,"Issue Debt",405,167,"Passed","athletic field improvements",1
"90","0280","Baraboo",2006-09-12,7500000,"NR - 2006",2945,3077,"Failed","Assisting in the maintenance of District educational programs, technology and capital projects",1
"91","0280","Baraboo",2016-11-08,21950000,"Issue Debt",5596,4083,"Passed","Capital Project Referendum in the amount of $21.95 million for the purpose of additions, renovations and repairs to Baraboo HS.",1
"92","0280","Baraboo",2019-04-02,41700000,"Issue Debt",2323,2100,"Passed","Additions, renovations, and capital maintenance projects at Jack Young Middle School; and acquisition of related furnishings, fixtures and equipment.",1
"93","0280","Baraboo",1995-09-12,2e+06,"Issue Debt",2035,1975,"Passed","Q 2: new pool",1
"94","0280","Baraboo",1995-09-12,14900000,"Issue Debt",2422,1629,"Passed","Q 1: hs add & renov",1
"95","0280","Baraboo",2003-09-09,7500000,"NR",1061,3687,"Failed","maintain district educational programs and facilities",1
"96","0287","Barneveld",2010-04-06,1175000,"Issue Debt",389,154,"Passed","school district building improvements including roof replacement, insulation and exterior finish system, science room remodeling and equipment acquisition",1
"97","0287","Barneveld",2017-11-07,12900000,"Issue Debt",500,114,"Passed","Demolition of the oldest portion of the existing school building; construction of an addition for a new elementary school, music rooms and art rooms; construction of a new secure entrance, cafeteria, commons and kitchen; upgrades to restrooms, HVAC and plumbing and electrical systems.",1
"98","0287","Barneveld",2017-11-07,3400000,"Issue Debt",453,154,"Passed","Renovation and expansion of Multi-Purpose gymnasium, addition of a new industrial arts and STEM area, staff/event parking.",1
"99","0308","Barron Area",2007-04-03,3100000,"Issue Debt",815,726,"Passed","Paying the cost of various construction, acquisition and installation costs connected to modifying the District's climate control systems, including installing a wood boiler system at Riverview Middle School and improving cooler systems at all school facilities.",1
"100","0308","Barron Area",2010-04-06,2e+06,"RR - 2010",469,1066,"Failed","District seeks recurring referendum to maintain educational programs",1
"101","0308","Barron Area",2017-04-04,7e+06,"Issue Debt",516,656,"Failed","General obligation bonds in an amount not to exceed $7,000,000 for the purpose of remodeling the current gymnasium and adding another gymnasium at the High School.",1
"102","0308","Barron Area",1997-10-14,12500000,"Issue Debt",710,641,"Passed","add to and remodel schools; site improvements",1
"103","0315","Bayfield",2000-09-12,6e+06,"Issue Debt",451,347,"Passed","remodel, add to, renovate and equip existing school facilities(partially SAGE)",1
"104","0336","Beaver Dam",2016-11-08,48900000,"Issue Debt",6944,3202,"Passed","Renovations and improvements at the high school, and safety and security improvements for the District",1
"105","0336","Beaver Dam",1996-09-10,1.6e+07,"Issue Debt",2527,1739,"Passed","new elem, dist wide renov",1
"106","4263","Beecher-Dunbar-Pembine",2015-04-07,2500000,"NR - 2015",326,194,"Passed","School building maintenance and repairs, technology upgrades and to maintain educational programs and services.",1
"107","4263","Beecher-Dunbar-Pembine",1995-10-03,3800000,"Issue Debt",371,258,"Passed","4.3 million remod & add to elem & hs",1
"108","0350","Belleville",2016-11-08,20750000,"Issue Debt",2077,983,"Passed","Additions, remodeling, renovations and improvements and the Intermediate and Middle/High School buildings.",1
"109","0364","Belmont Community",1998-11-03,4200000,"Issue Debt",462,368,"Passed","add  to & remodel gr. 5-12 bldg; buy land and equipment",1
"110","0413","Beloit",2012-04-03,7e+07,"Issue Debt",2889,2543,"Passed","Constructing additions to and repair, remodeling and improvement projects at District elementary school buildings and sites to add new and better classroom space, increase security and improve efficiency; demolition work; acquiring land and constructing a new intermediate school; constructing additions to and renovating Cunningham Elementary School for use as an intermediate school; constructing a new pool, tennis courts and a fitness center at the high school; relocating administrative offices and charter schools; upgrading technology and acquiring furniture, fixtures and equipment.",1
"111","0413","Beloit",2023-04-04,19500000,"Issue Debt",3003,3115,"Failed","Construction and district-wide capital maintenance improvements including roofing and building infrastructure updates to heating, ventilation, and cooling system, safety and exterior upgrades, and renovations to athletic facilities at Beloit Memorial High School.",1
"112","0422","Beloit Turner",2008-04-01,6100000,"Issue Debt",804,584,"Passed","cost of upgrades and improvements to district buildings, mechanical systems and parking lots; auditorium renovations; and equipment acquisition related thereto",1
"113","0422","Beloit Turner",2008-04-01,2500000,"Issue Debt",635,727,"Failed","stadium renovations and the acquisition of land to accommodate future space needs for the district",1
"114","0422","Beloit Turner",2013-04-02,2.8e+07,"Issue Debt",647,1350,"Failed","Paying the costs of constructing and equipping a new high school including related site, roadway and utility improvements.",1
"115","0422","Beloit Turner",2018-04-03,26800000,"Issue Debt",920,923,"Failed","New Construction     (2-5 Elementary School)
Addition/Renovation (FJ Turner High School)",1
"116","0422","Beloit Turner",2018-11-06,26485000,"Issue Debt",2206,1633,"Passed","New Construction (2-5 Elementary School)
Addition/Improvements/Renovation (FJ Turner High School)
Create Safe & Secure Main Entrances in District Instructional Buildings",1
"117","0427","Benton",2009-04-07,965000,"NR - 2009",407,291,"Passed","nonrecurring purposes consisting of continuing and enhancing the program approved in May 2006, which includes sustaining operating expenses with which to maintain the curent level of operations",1
"118","0427","Benton",2018-04-03,1115000,"NR - 2018",254,116,"Passed","Question #1:  BE IT RESOLVED by the School Board of the School District of Benton, Lafayette and
Grant Counties, Wisconsin, to exceed the revenue limit specified in Section 121.91, ........... and by an additional $150,000 for the 2018-2019 school year, $225,000 for the 2019-20 school year, and $370,000 for the 2020-21 through 2021-2022 school years for non-recurring purposes, consisting of continuing and enhancing the programs approved in 2006, 2009, 2012 and 2015, which includes sustaining operating expenses with which to maintain the current level of operations.",1
"119","0427","Benton",2021-04-06,43000,"Issue Debt",198,44,"Passed","The money will be used for district building and site improvements and capital maintenance repairs.",1
"120","0427","Benton",2022-04-05,1680000,"NR - 2022",198,67,"Passed","This referendum will help us continue and enhance the programs approved in 2006, 2009, 2012, 2015, and 2018, which includes sustaining operating expenses with which to maintain current level of operations.",1
"121","0427","Benton",2000-09-12,3990000,"Issue Debt",479,475,"Passed","addition to and remodeling of HS ; acquire equipment",1
"122","0434","Berlin Area",2013-10-15,18700000,"Issue Debt",915,283,"Passed","construct middle school addition to high school, remodel high school, addition to and remodel elementary school.",1
"123","0434","Berlin Area",1993-12-14,15495000,"Issue Debt",1280,482,"Passed","new hs & convert hs to ms",1
"124","6013","Big Foot UHS",2013-04-02,650000,"RR - 2013",864,880,"Failed","To maintain educational programming, safety and maintenance.",1
"125","6013","Big Foot UHS",2014-04-01,4950000,"NR - 2014",1038,702,"Passed","To enhance educational programming, provide a safe educational environment and maintain facilities.",1
"126","6013","Big Foot UHS",2018-11-06,7800000,"Issue Debt",2189,2156,"Passed","for the public purpose of paying the cost of the construction and equipping of an outdoor athletic facility on district owned land",1
"127","6013","Big Foot UHS",2018-11-06,1050000,"NR - 2019",2828,1517,"Passed","for non-recurring purposes consisting of expenses of employing a school resource officer, technology upgrades, and capital maintenance improvements, including roof and parking lot repair",1
"128","6013","Big Foot UHS",1998-11-03,1650000,"Issue Debt",1240,1603,"Failed","swimming pool",1
"129","6013","Big Foot UHS",1998-11-03,14975000,"Issue Debt",1567,1327,"Passed","add to and remodel high school",1
"130","0441","Birchwood",1996-06-08,4100000,"Issue Debt",243,653,"Failed","land purch, remod & add to k-12 bld",1
"131","0441","Birchwood",1998-11-03,3995000,"Issue Debt",440,513,"Failed","add to and remodel school buildings",1
"132","0441","Birchwood",1999-01-26,3495000,"Issue Debt",383,563,"Failed","add to & remodel school facilities; equipment",1
"133","0441","Birchwood",1999-06-15,2395000,"Issue Debt",310,297,"Passed","improvements to existing building including addition, remodeling, acquire equipment and real estate",1
"134","0441","Birchwood",2008-11-04,650000,"NR - 2008",519,737,"Failed","cost of maintaining educational program quality, purchasing instructional materials, acquiring hardware/software for instructional technology use, providing technology support and maintaining district buildings",1
"135","2240","Black Hawk",2007-04-03,850000,"RR - 2007",487,516,"Failed","maintain educational programs of the district",1
"136","2240","Black Hawk",2007-06-26,2095000,"NR - 2007",520,429,"Passed","paying the costs of maintaining the educational programs of the district",1
"137","2240","Black Hawk",2014-11-04,250000,"RR - 2014",345,681,"Failed","Update technology, transportation costs, maintain programming",1
"138","2240","Black Hawk",2018-04-03,5e+05,"Issue Debt",442,253,"Passed","Capital Improvement Referendum",1
"139","2240","Black Hawk",2021-04-06,14225000,"Issue Debt",258,559,"Failed","CAPITAL IMPROVEMENTS - REMOVAL OF PORTION OF BUILDING AND NEW CONSTRUCTION",1
"140","2240","Black Hawk",2022-04-05,8500000,"Issue Debt",460,386,"Passed","CAPITAL IMPROVEMENTS - REMOVAL OF PORTION OF BUILDING AND NEW CONSTRUCTION",1
"141","0476","Black River Falls",1998-11-03,10575000,"Issue Debt",1418,2442,"Failed","district office; elementary school; add to & remod h.s. & e.s.",1
"142","0476","Black River Falls",2001-04-03,12545000,"Issue Debt",1115,1803,"Failed","construct/equip new elementary school; construct addition to, remodel and equip district elementary schools",1
"143","0476","Black River Falls",2001-04-03,2480000,"Issue Debt",1265,1598,"Failed","construct addition to, remodel and equip High School",1
"144","0476","Black River Falls",2001-09-25,2545000,"Issue Debt",556,583,"Failed","construct addition and remodeling and equipping of Gebhardt elementary and Forest Street elementary school",1
"145","0476","Black River Falls",2001-12-11,2545000,"Issue Debt",844,1090,"Failed","construct addition to and remodel/equip Gebhardt ES and Forrest Street ES",1
"146","0476","Black River Falls",2009-06-09,25279225,"Issue Debt",845,1094,"Failed","acquisition of a site for and the construction and equipping of a new elementary school for Grades 1 through 5 incorporating District Office facilities; the construction and equipping of an addition to and related remodeling of Forrest Street Elementary School; and window replacement at Forrest Street Elementary School.",1
"147","0476","Black River Falls",2014-11-04,22500000,"Issue Debt",2696,1759,"Passed","New elementary school, addition and remodeling of the High School, secure entrances at all schools, parking lot construction, demolition of Third Street School and redevelopment of site, removal of portable classrooms.",1
"148","0476","Black River Falls",2020-11-03,2.3e+07,"Issue Debt",3699,2178,"Passed","Updates to major building systems at Forrest Street Early Learning Center, Black River Falls Middle School and Black River Falls High School; construction of an addition to and renovations at both Forrest Street Early Learning Center and Black River Falls High School.",1
"149","0485","Blair-Taylor",1996-05-04,6500000,"Issue Debt",449,974,"Failed","new hs, remod elem",1
"150","0485","Blair-Taylor",1997-06-24,7500000,"Issue Debt",886,827,"Passed","grade 7-12 building; remodel old bldg.to grade EC-6",1
"151","0485","Blair-Taylor",2013-04-02,16985000,"Issue Debt",633,353,"Passed","Construction and remodel of 7-12 building & site to accept the elementary population in one united campus.",1
"152","0485","Blair-Taylor",2020-11-03,4145000,"Issue Debt",1101,827,"Passed","Addition of a daycare, addition and renovations to classrooms and adding a baseball field.",1
"153","0485","Blair-Taylor",2023-04-04,4500000,"NR - 2023",567,511,"Passed","The purpose of the non-recurring referendum is to maintain current operations and opportunities for our students, attract and retain staff, rebuild our fund balance.",1
"154","0497","Bloomer",1997-05-20,12300000,"Issue Debt",482,1284,"Failed","middle and high school remodeling",1
"155","0497","Bloomer",1998-11-03,13550000,"Issue Debt",1203,1519,"Failed","new high school; remodel old h.s. & raze  middle school",1
"156","0497","Bloomer",1999-02-16,12925000,"Issue Debt",742,1421,"Failed","new h.s; convert old h.s. to middle school.",1
"157","0497","Bloomer",2000-11-07,8200000,"Issue Debt",2321,1138,"Passed","acquire land; construct/equip new MS",1
