"District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
"0063","Albany",2019-04-02,"2750000","Issue Debt",436,389,"Passed","Construction of an addition and renovations",1,NA
"0063","Albany",1995-02-21,"2975000","Issue Debt",357,282,"Passed","15 roon addition & remod",1,NA
"0070","Algoma",1997-05-06,"3900000","Issue Debt",782,153,"Passed","general improvements",1,NA
"0070","Algoma",2006-04-04,"1775000","NR - 2006",883,422,"Passed","district operating expenses",NA,1
"0070","Algoma",2016-04-05,"4860000","Issue Debt",1541,385,"Passed","Renovations, improvements and additions to the elementary school; high school restroom renovations; parking lot improvements at each school building; and equipment acquisition related to said projects.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0084","Alma",2015-04-07,"1225000","NR - 2015",371,195,"Passed","The basis for the purpose of paying District operation and maintenance costs.",NA,NA
"0084","Alma",2015-04-07,"3e+06","Issue Debt",382,187,"Passed","To pay for energy effiency improvements including new geothermal HVAC system, upgrades and/or replacements to lighting, electrical, windows, technology grounds and transportation vehicles.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0084","Alma",2018-04-03,"925000","NR - 2018",266,251,"Passed","A 3-year referendum to exceed the revenue cap by $295,000 for the 18-19 school year; $295,000 for the 19-20 school year; and $335,000 for the 20-21 school year.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0084","Alma",2018-04-03,"25000","RR - 2018",294,224,"Passed","A referendum to exceed the revenue cap by an amount not to exceed $25,000 per year for the purpose of funding Fund 41 capital expenditures related to buildings and sites",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0084","Alma",2020-11-03,"335000","RR - 2021",659,438,"Passed","A recurring referendum to exceed the revenue cap by $335,000 beginning with the 2021-22 school year.",NA,NA
"0091","Alma Center",1995-05-20,"4800000","Issue Debt",948,386,"Passed","new school",1,NA
"0091","Alma Center",2004-09-14,"950000","Issue Debt",314,225,"Passed","classroom additions",1,NA
"0091","Alma Center",2007-04-03,"1520000","NR - 2007",261,421,"Failed","funding school district operating expense",NA,1
"0091","Alma Center",2008-04-01,"1200000","NR - 2008",454,428,"Passed","funding school operating expenses",NA,1
"0091","Alma Center",2010-11-02,"10300000","Issue Debt",749,471,"Passed","Demolition work, constructing additions to and remodeling and renovating Lincoln Junior/Senior Hgih School.",1,NA
"0091","Alma Center",2021-04-06,"4900000","Issue Debt",407,312,"Passed","This referendum will address energy efficiency projects,  capital maintenance improvements, as well as the completion of a new athletic stadium complex.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105","Almond-Bancroft",2002-11-05,"750000","NR",317,580,"Failed","non-recurring purposes",NA,NA
"0105","Almond-Bancroft",2003-04-01,"750000","NR",252,464,"Failed","non-recurring purposes",NA,NA
"0105","Almond-Bancroft",1998-04-07,"1e+05","RR",281,479,"Failed","exceed revenue limits, recurring, 1999-00",NA,NA
"0105","Almond-Bancroft",1998-04-07,"5251000","Issue Debt",393,391,"Passed","buy land; add to & remodel schools and improve facilities",1,NA
"0105","Almond-Bancroft",2013-04-02,"375000","NR - 2013",252,224,"Passed","Update/Maintain Technology",1,NA
"0105","Almond-Bancroft",2018-04-03,"525000","RR - 2018",356,211,"Passed","To exceed revenue limits and calling a referendum to submit the revenue limit resolution to the electors",NA,NA
"0112","Altoona",1998-09-08,"3750000","Issue Debt",589,699,"Failed","performing arts center at high schoo",1,NA
"0112","Altoona",1998-09-08,"160000","RR",803,496,"Passed","exceed revenue limits",NA,NA
"0112","Altoona",2005-04-05,"4500000","NR - 2005",648,1259,"Failed","Exceed Revenue Cap",NA,NA
"0112","Altoona",1998-09-08,"6840000","Issue Debt",914,406,"Passed","add to elem, school and high school",1,NA
"0112","Altoona",2006-04-04,"3900000","NR - 2006",1128,1116,"Passed","Exceed revenue cap for non-recurring purposes consisting of operational purposes",NA,1
"0112","Altoona",2002-05-21,"2e+06","NR",859,514,"Passed","maintaining instructional programs, district buildings and sites",1,NA
"0112","Altoona",2010-04-06,"5e+06","NR - 2010",891,1008,"Failed","operational purposes",NA,1
"0112","Altoona",2012-04-03,"3600000","NR - 2012",1148,1214,"Failed","To enhance the educational programming and technology 
needs for the students of the District.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0112","Altoona",2014-11-04,"2.3e+07","Issue Debt",2267,1582,"Passed","Issue debt of $23,000,000 to build and equip a new elementary school on District owned property, and to make capital maintenance, safety, and health-related building and site improvements on current campus.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0112","Altoona",2023-04-04,"2.6e+07","Issue Debt",1531,1614,"Failed","Buying building and improvement to building and other district-wide maintenance, infrastructure and site improvements.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0119","Amery",2005-04-05,"750000","RR - 2005",1113,1217,"Failed","operating and maintenance expenses",NA,1
"0119","Amery",2007-04-03,"2e+06","Issue Debt",1411,1022,"Passed","building and grounds maintenance projects",NA,NA
"0119","Amery",2007-04-03,"1e+06","RR - 2007",1236,1229,"Passed","operation and maintenance costs",NA,NA
"0119","Amery",1996-05-18,"1.6e+07","Issue Debt",1294,1397,"Failed","new 3-5 elem, hs renov, new pool, ADA issues",1,NA
"0119","Amery",1996-09-10,"14800000","Issue Debt",NA,NA,"Failed","new 3-5 elem, hs renov, new pool, ADA issues",1,NA
"0119","Amery",1997-06-10,"7800000","Issue Debt",1084,1152,"Failed","high school addition & remodeling (4.8),tech. plan (2.1), bus gar (.9)",1,NA
"0119","Amery",1997-11-04,"7890000","Issue Debt",1761,1441,"Passed","add to and remodel high school; upgrade technology",1,NA
"0119","Amery",2001-10-09,"12900000","Issue Debt",1411,656,"Passed","construct/equip new intermediate school, remove existing intermediate school, repair/improve Lien Elementary school",1,NA
"0119","Amery",2017-04-04,"1900000","RR - 2017",1261,998,"Passed","Referendum to exceed revenue cap commencing with the 2017-18 school year by an amount of $1,900,000.",NA,NA
"0119","Amery",2022-04-05,"3.5e+07","Issue Debt",1464,1169,"Passed","improvements to the elementary, intermediate, middle and high school buildings and grounds including upgrades and renovations to major building systems; upgrades to safety and security systems; American with Disabilities Act (ADA) compliance renovations; upgrades and improvements to the intermediate and high school sidewalks, drives, and parking lots; upgrades and improvements to building exterior walls, roofing, flooring, lighting, doors and windows; upgrades and remodeling of high school classrooms and labs; and equipment acquisition related to said projects.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0119","Amery",2022-04-05,"8500000","Issue Debt",1487,1145,"Passed","elementary school renovations and building additions; safety and security upgrades, upgrading and remodeling elementary classrooms; upgrades and improvements to sidewalks, drives, and parking lots; upgrading and renovating classrooms for the Early Learning Center; and equipment acquisition related to said project.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0140","Antigo",2006-09-12,"2540000","NR - 2007",1961,2274,"Failed","To Exceed the Revenue Limit for 4 years",NA,NA
"0140","Antigo",2006-09-12,"21500000","Issue Debt",1743,2525,"Failed","To Construct an Elementary Building",1,NA
"0140","Antigo",2007-04-03,"4400000","NR - 2007",1810,2399,"Failed","Operational Expenses",NA,1
"0140","Antigo",2011-11-08,"2.4e+07","Issue Debt",2081,2137,"Failed","Issue Debt for $24 million to Build an Elementary School",NA,NA
"0140","Antigo",2012-04-03,"2.4e+07","Issue Debt",NA,NA,"Cancelled","ELECTION CANCELLED

Issue Debt for $24,000,000 to build a elementary school",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0140","Antigo",2012-11-06,"24500000","Issue Debt",3574,5065,"Failed","Issue Debt for $24,500,000 to build an elementary school",NA,NA
"0140","Antigo",2012-11-06,"1500000","RR - 2012",3293,5214,"Failed","Exceed Revenue Cap - Recurring for Maintenance and  Operating Expenses",NA,1
"0140","Antigo",1996-10-08,"13500000","Issue Debt",NA,NA,"Failed","add renov to all 10 dist elem schls, athl field, new pool",1,NA
"0140","Antigo",1997-04-01,"5200000","Issue Debt",2685,2520,"Passed",NA,NA,NA
"0140","Antigo",2001-12-11,"5200000","NR",1696,1686,"Passed","maintaining and improving district buildings, sites, instructional programs",1,NA
"0140","Antigo",2016-04-05,"25900000","Issue Debt",2617,3879,"Failed","Issue Debt in an amount not to exceed $25,900,000 to build an new elementary school and additions and remodeling at the remaining two elementary schools.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0147","Appleton Area",2005-02-15,"16860000","Issue Debt",7956,4280,"Passed","School Improvement",NA,NA
"0147","Appleton Area",2005-02-15,"3370000","RR - 2005",7541,4650,"Passed",NA,NA,NA
"0147","Appleton Area",2005-02-15,"1179000","RR - 2005",6009,6154,"Failed",NA,NA,NA
"0147","Appleton Area",2009-02-17,"5e+06","Issue Debt",5661,6754,"Failed","cost of improving school building safety and technology system security",NA,NA
"0147","Appleton Area",2009-02-17,"10900000","RR - 2009",5463,6978,"Failed","improving class size ratios and purchasing curriculum materials including instructional technology",NA,1
"0147","Appleton Area",2014-02-18,"2.5e+07","Issue Debt",5119,3632,"Passed","For the public purpose of paying the cost of reconfiguring building entrances and classroom spaces to improve building security and function; updating science and industrial technology education classrooms; purchasing instructional technology for student use; replacing school building windows, generators and electrical service to improve function and energy efficiency; and constructing additional space to meet school operational needs.",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0147","Appleton Area",2014-02-18,"5e+06","RR - 2014",4641,4090,"Passed","To exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for the 2014-2015 school year and thereafter by $5,000,000 for recurring purposes:  ongoing school building maintenance projects; replacement of inoperable technology; and staff positions to support technology training.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0147","Appleton Area",1998-02-17,"4140000","Issue Debt",5158,4339,"Passed","exceed revenue cap 1998-99 for recurring purposes",NA,NA
"0147","Appleton Area",1998-02-17,"13960000","Issue Debt",5771,3775,"Passed","add to and remodel various schools",1,NA
"0147","Appleton Area",2022-11-08,"129800000","Issue Debt",29396,12982,"Passed","Issue general obligation bonds in an amount not to exceed $129,800,000 for the purpose of paying the cost of a school building and facility improvement projects.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0147","Appleton Area",2022-11-08,"5e+06","RR - 2023",28188,14132,"Passed","We would like to exceed the revenue limit by $5,000,000 annually to fund increased staffing at the K - 2 level, which would allow us to reduce class sizes, add STEM staffing at the elementary and middle levels, and fund expenses for ongoing school building maintenance, cleaning, and utility costs.",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0154","Arcadia",2011-11-08,"23970000","Issue Debt",546,741,"Failed","paying the cost of constructing and equipping a new elementary/middle school and removal of the existing elementary/middle school",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0154","Arcadia",2013-04-02,"23420000","Issue Debt",697,912,"Failed","Construction and equipping of new elementary/middle school",1,NA
"0154","Arcadia",2013-11-05,"1.4e+07","Issue Debt",556,492,"Passed","12,000,000 construction on a new grade 5-8 school and $2,000,000 update to existing elementary building.",1,NA
"0154","Arcadia",1996-10-12,"1100000","Issue Debt",1046,525,"Passed","construct assembly hall in high school",1,NA
"0154","Arcadia",1996-10-12,"8350000","Issue Debt",1165,414,"Passed","construct and equip new high school",1,NA
"0154","Arcadia",2018-04-03,"4e+06","Issue Debt",796,457,"Passed","Not to exceed 4,000,000 to be used towards a new high school/middle school gymnasium, locker rooms, and weight room to go along with a 12,000,000 donation to add a joint use community center and a 1.2 million donation for an attached public library.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0154","Arcadia",2023-04-04,"2250000","NR - 2023",428,824,"Failed","Referendum question to exceed the revenue cap in the amount of $750,000 each year for three years beginning with the tax levy year of 2023 and ending with the tax levy year of 2025.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0161","Argyle",2016-04-05,"6500000","Issue Debt",562,189,"Passed","General obligation bonds in an amount not to exceed $6,500,000 for the public purpose of paying the cost of a school improvement program at District buildings and grounds consisting of:  HVAC upgrades and improvements; roof and flooring repairs and replacement; additions for technical education classroom and shop space, new storage and office space and a new maintenance and storage garage; remodeling and renovations to classroom space, the Elementary School gymnasium and locker rooms; and acquiring furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0161","Argyle",2016-04-05,"2600000","Issue Debt",389,351,"Passed","General obligation bonds in an amount not to exceed $2,600,000 for the public purpose of paying the cost of constructing a new High School gymnasium, restrooms, office and storage space.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0161","Argyle",1998-04-07,"5200000","Issue Debt",372,183,"Passed","joint middle school-high school",NA,NA
"0161","Argyle",2022-04-05,"1960000","NR - 2022",262,168,"Passed","Argyle School District is asking our tax payers for an additional $490,000 for the next four years to aid in operating expenses.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2450","Arrowhead UHS",2016-11-08,"64700000","Issue Debt",9168,10900,"Failed","BE IT RESOLVED by the School Board of the Arrowhead Union High School District, Waukesha County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $64,700,000 for the public purpose of paying the cost of a campus-wide school building and improvement program consisting of:  renovations to instructional areas, classrooms, special education, and design, engineering and manufacturing areas; site and storm water management improvements; security, life safety and building infrastructure updates; constructing and equipping a fine arts auditorium, a replacement swimming pool, storage areas and a new science lab as additions to the existing school buildings; and acquisition of furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2450","Arrowhead UHS",2016-11-08,"173000","RR - 2018",8801,11178,"Failed","BE IT RESOLVED by the School Board of the Arrowhead Union High School District, Waukesha County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for the 2018-2019 school year and thereafter by $173,000, for recurring purposes to support the annual operating costs associated with the fine arts auditorium and replacement swimming pool additions.",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2450","Arrowhead UHS",2017-04-04,"36680000","Issue Debt",2354,3841,"Failed","To issue general obligation bonds in an amount not to exceed $36,680,000 for the public purpose of paying the cost of a campus-wide school building and improvement program consisting of:  renovations to instructional areas, classrooms, special education, and design, engineering and manufacturing areas; site and storm water management improvements; security, life safety and building and technology infrastructure updates; storage areas and a new science lab as additions to the existing school buildings; and acquisition of furnishings, fixtures and equipment..",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2450","Arrowhead UHS",1992-11-03,"6e+06","Issue Debt",6465,5424,"Passed",NA,NA,NA
"2450","Arrowhead UHS",1997-11-04,"446000","NR",1526,2733,"Failed","exceed revenue limits 98-99 & 99-00, recurring purposes",NA,NA
"2450","Arrowhead UHS",1997-11-04,"2.2e+07","Issue Debt",1812,2483,"Failed","add to and remodel buildings",1,NA
"2450","Arrowhead UHS",1998-04-07,"164000","NR",1596,3203,"Failed","exceed rev cap, 99-00 to 03-04,  for maint. on new gym",1,NA
"2450","Arrowhead UHS",1998-04-07,"4795000","Issue Debt",1751,3076,"Failed","gym and locker room at North Campus; technology",1,NA
"2450","Arrowhead UHS",2020-11-03,"8500000","NR - 2020",11511,11442,"Passed","To exceed the revenue limit by $1,700,000 per year, for five years, for non-recurring purposes of funding technology, facility and site infrastructure improvements.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2450","Arrowhead UHS",1998-04-07,"315900","NR",1919,2906,"Failed","exceed rev cap, 99-00 to 03-04,  for maint. on classrooms",1,NA
"2450","Arrowhead UHS",1998-04-07,"16995000","Issue Debt",2312,2552,"Failed","classroom additions; equipment & technology",1,NA
"2450","Arrowhead UHS",1999-11-02,"342212","RR - 2000",3065,2183,"Passed","utility, custodial/maintenance, property/casualty insurance",NA,NA
"2450","Arrowhead UHS",1999-11-02,"19800000","Issue Debt",3246,2029,"Passed","construct additions, renovate, asbestos abatement, improve security,",1,NA
"0170","Ashland",2016-04-05,"34360000","Issue Debt",2675,2204,"Passed","BE IT RESOLVED by the School Board of the School District of Ashland, Ashland and Bayfield Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $34,360,000 for the public purpose of paying the cost of a school building and improvement program at all District facilities and grounds consisting of: additions for classrooms and learning space; remodeling and modernization of facilities; energy efficiency and management system upgrades; technology, safety and security improvements, including secure main entrances; construction of a new fieldhouse; parking and site improvements; and acquiring furnishings, fixtures and equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0170","Ashland",1999-11-02,"6e+05","Issue Debt",712,158,"Passed","remodel science labs at h.s. & acquire related equip",1,NA
"0182","Ashwaubenon",2020-04-07,"10050000","Issue Debt",2824,1501,"Passed","Facility improvement projects across the District",NA,NA
"0182","Ashwaubenon",2020-04-07,"3650000","NR - 2020",2603,1728,"Passed","revenue limit amount to cover student mental wellness services and operation of air conditioning",NA,NA
"0182","Ashwaubenon",2023-04-04,"19500000","NR - 2023",3070,1963,"Passed","Operational referendum 5 year",NA,1
"0182","Ashwaubenon",1993-02-01,"22960000","Issue Debt",836,4375,"Failed",NA,NA,NA
"0182","Ashwaubenon",1998-04-07,"180000","RR",938,2366,"Failed","exceed revenue caps for operation purposes",NA,NA
"0182","Ashwaubenon",1998-04-07,"350000","RR",938,2370,"Failed","exceed rev cap for foreign language & technology",NA,NA
"0182","Ashwaubenon",1998-04-07,"12640000","Issue Debt",1337,1991,"Failed","add to and remodel two elementary schools",1,NA
"0182","Ashwaubenon",1999-11-02,"11965000","Issue Debt",2403,815,"Passed","add to, remodel, renovate, & improve h.s., acquire equip",1,NA
"0182","Ashwaubenon",2001-04-03,"198336","RR - 2001",1301,1389,"Failed","recurring purposes",NA,NA
"0182","Ashwaubenon",2001-09-25,"9700000","Issue Debt",1776,1681,"Passed","adding to, remodeling, renovating, improving Pioneer ES and Valley View ES, complete maintenance projects, site improvements, equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0182","Ashwaubenon",2001-09-25,"294000","RR - 2001",1481,1975,"Failed","increased operating costs related to proposed renovations at HS and Pioneer and Valley View ES",1,1
"0182","Ashwaubenon",2001-09-25,"2e+06","Issue Debt",1469,1990,"Failed","install/improve air conditioning system at HS, Pioneer Elem School, Valley View Elem School",NA,NA
"0182","Ashwaubenon",2001-09-25,"83000","RR - 2001",1323,2134,"Failed","operating costs",NA,1
"0196","Athens",2006-05-09,"3e+05","Issue Debt",860,519,"Passed","Various maintenance, remodeling, repair, and site improvements.",1,NA
"0196","Athens",2006-05-09,"1e+05","Issue Debt",426,944,"Failed","Repair and replace asphalt at high school/middle school site.",1,NA
"0196","Athens",2006-05-09,"2050000","NR - 2006",779,595,"Passed","To exceed the Revenue Limit for five years.",NA,NA
"0196","Athens",2010-11-02,"2500000","NR - 2011",617,741,"Failed","To exceed revenue limit for 5 years for operational purposes",NA,1
"0196","Athens",2011-05-17,"350000","RR - 2011",934,481,"Passed","Resolution providing for a Special Election on the Question of the Approval of a Resolution Authorizing the School District Budget to Exceed Revenue Limit by $350,000 for Recurring Purposes.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0196","Athens",2022-11-08,"5525000","Issue Debt",792,1124,"Failed","INITIAL RESOLUTION AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $5,525,000",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0196","Athens",2022-11-08,"1670000","RR - 2022",816,1111,"Failed","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT FOR RECURRING PURPOSES",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0196","Athens",2023-04-04,"5270000","NR - 2023",1355,481,"Passed","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT FOR NON-RECURRING PURPOSES",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0196","Athens",1997-10-18,"6500000","Issue Debt",269,680,"Failed","addition to high school",NA,NA
"0196","Athens",1999-11-02,"6965000","Issue Debt",461,502,"Failed","constructing addition to and remodel 6-12 school; acquire equipment/furnishings",1,NA
"0196","Athens",2000-04-04,"6975000","Issue Debt",542,557,"Failed","construct addition to & remodel existing 6-12 facility; equip/furnishings/equip",1,NA
"0196","Athens",2001-02-20,"250000","RR - 2001",339,646,"Failed","recurring purposes",NA,NA
"0203","Auburndale",2008-02-19,"860000","NR - 2008",681,704,"Failed","Capital Improvements",1,NA
"0203","Auburndale",2008-02-19,"1e+06","NR - 2008",462,919,"Failed","funding unfunded post retirement benefits",NA,NA
"0203","Auburndale",2008-02-19,"160000","RR - 2008",607,765,"Failed","For paying ongoing educational and operating expenses of the district",NA,1
"0203","Auburndale",2008-11-04,"2e+06","NR - 2009",1231,1022,"Passed","Exceed revenue limit for five years to sustain educational programs and to pay operational and capital expenses",1,1
"0203","Auburndale",2016-04-05,"5e+05","RR - 2017",971,709,"Passed","Shall the School District of Auburndale be allowed to exceed the revenue limit specified in § 121.91, Wis. Stats., by up to $500,000 commencing with the 2017-2018 school year on a recurring basis; by up to an additional $200,000 in the 2018-2019 school year on a non-recurring basis, making a total of $700,000; by up to an additional $300,000 in the 2019-2020 school year on a non-recurring basis, making a total of $800,000; and by up to an additional $400,000 in the 2020-2021 school year on a non-recurring basis, making a total of $900,000, all for the purpose of maintaining current levels of educational programming, expenditures and operations?",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
