No,15,ReferendumTypeCode,PrimaryContactId,AgencyCode,AgencyName,VoteDate, Amount ,ReferendaContact,YesVotes,NoVotes,ReferendumStatusCode,IsCertificationReceived,IsDpiReviewed,BriefDescription,FullDescription,ModifiedDate
11,6009,Recurring Referendum,,0245,Bangor School District,"Tuesday, November 5, 2024"," $ 900,000.00 ",Anjie Whiteaker,1154,1218,Failed,,,"Shall the School District of Bangor, La Crosse and Monroe Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $900,000 beginning with the 2025-2026 school year, for recurring purposes?","BE IT RESOLVED by the School Board of the School District of Bangor, La Crosse and Monroe Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $900,000 beginning with the 2025-2026 school year, for recurring purposes. Adopted and recorded August 14, 2024.",
12,3840,Issue Debt,,0280,Baraboo School District,"Tuesday, November 5, 2024"," $ 85,700,000.00 ",Gail Thiede,4987,6541,Failed,,,"Additions, renovations and/or capital maintenance improvements at Al Behrman, East, Gordon L. Willson and North Freedom Elementary Schools; and acquisition of related furnishings, fixtures and equipment; site improvements; and demolition of West kindergarten Center.","Shall the School District of Baraboo, Sauk and Columbia Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $85,700,000 for the public purpose of paying the cost of an elementary school facility improvement project consisting of:  construction of additions, renovations and/or capital maintenance improvements at Al Behrman, East, Gordon L. Willson and North Freedom Elementary Schools; acquisition of related furnishings, fixtures and equipment; site improvements; and demolition of West Kindergarten Center?",
13,5990,Issue Debt,,0336,Beaver Dam School District,"Tuesday, November 5, 2024"," $ 107,000,000.00 ",Ryan Cashman,6288,5648,Passed,,,"Capital referendum for district wide improvements, new middle school, and Washington Elementary improvements. ","BE IT RESOLVED by the School Board of the Beaver Dam Unified School District, Dodge County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin  Statutes, general obligation bonds in an amount not to exceed $107,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of a new Middle School building and campus, including community and athletic space improvements; construction of additions, renovations and building infrastructure improvements at Washington Elementary School; district-wide safety, security, ADA accessibility, recreation and site improvements; possible removal of all or part of the existing Middle School building; and acquisition of furnishings, fixtures and equipment.",
14,6027,Non-Recurring Referendum,,4263,Beecher-Dunbar-Pembine School District,"Tuesday, November 5, 2024"," $ 4,000,000.00 ",Lynn Stankevich,689,745,Failed,,,"RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $800,000 PER YEAR FOR FIVE YEARS FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the School District of Beecher-Dunbar-Pembine, Marinette County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $800,000 per year for five years, beginning with the 2025-2026 school year and ending with the 2029-2030 school year, for non-recurring purposes consisting of maintaining and enhancing educational programming and operational and maintenance expenses.",
15,6001,Non-Recurring Referendum,,0364,Belmont Community School District,"Tuesday, November 5, 2024"," $ 2,200,000.00 ",Beau Buchs,647,428,Passed,,,"To exceed revenue limit for operational needs in the 2024-2025, 2025-2026, 2026-2027, & 2027-2028 school years.","BE IT RESOLVED by the School Board of the Belmont Community School District, Lafayette County, Wisconsin, that the school district be authorized to exceed the revenue limit specified in Section 121.91(2m), Wisconsin Statutes by $550,000 per year beginning with the 2024-25 school year and ending with the 2027-28 school year, for non-recurring purposes of providing for the operational needs of the school district.",
16,5931,Non-Recurring Referendum,,0434,Berlin Area School District,"Tuesday, November 5, 2024"," $ 7,065,513.00 ",Dr. Emmett Durtschi,2638,3022,Failed,,,4 year nonrecurring operational referendum,"""Shall the Berlin Area School District, Green Lake, Waushara and Winnebago Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $802,156 for the 2025-2026 school year, by $1,263,061 for the 2026-2027 school year, by $2,125,956 for the 2027-2028 school year, and by $2,874,340 for the 2028-2029 school year, for non-recurring purposes consisting of operational costs to maintain instructional programs, staffing, technology and facilities?""",
17,5966,Non-Recurring Referendum,,0602,Bonduel School District,"Tuesday, November 5, 2024"," $ 1,800,000.00 ",Joe Dawidziak,1904,1618,Passed,,,"A RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $300,000 PER YEAR FOR SIX YEARS FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the School District of Bonduel, Shawano County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $300,000 per year for six years, beginning with the 2025-2026 school year and ending with the 2030-2031 school year, for non-recurring purposes consisting of operational expenses for support staff benefits and salary.",
18,5967,Non-Recurring Referendum,,0602,Bonduel School District,"Tuesday, November 5, 2024"," $ 2,700,000.00 ",Joe Dawidziak,1911,1626,Passed,,,"A RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $450,000 PER YEAR FOR SIX YEARS FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the School District of Bonduel, Shawano County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $450,000 per year for six years, beginning with the 2025-2026 school year and ending with the 2030-2031 school year, for non-recurring purposes for technology, safety, and security upgrades.",
19,5953,Non-Recurring Referendum,,0840,Butternut School District,"Tuesday, November 5, 2024"," $ 4,800,000.00 ",Jennifer Smart,326,413,Failed,,,Non-recurring operational referendum for 4 years,"BE IT RESOLVED by the School Board of the School District of Butternut, Ashland and Price Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,200,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes for paying the ongoing operational expenses of the school district.",
20,6067,Issue Debt,,0903,Cameron School District,"Tuesday, November 5, 2024"," $ 17,000,000.00 ",Joe Leschisin,1759,1094,Passed,,,"BE IT RESOLVED by the School Board of the School District of Cameron, Barron County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $17,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  general renovations, renovations to career technical education and student services spaces, capital maintenance, building infrastructure and systems improvements at the Middle/High School and construction of an addition for guidance services and the district office; district-wide site improvements; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the School District of Cameron, Barron County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $17,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  general renovations, renovations to career technical education and student services spaces, capital maintenance, building infrastructure and systems improvements at the Middle/High School and construction of an addition for guidance services and the district office; district-wide site improvements; and acquisition of furnishings, fixtures and equipment.",
21,6031,Issue Debt,,1162,Colby School District,"Tuesday, November 5, 2024"," $ 17,770,000.00 ",Brian Zaleski,1677,1086,Passed,,,Colby Referendum Question #1 - Fall 2024 - monies would focus on maintenance and modernization of school buildings on Colby School District campus.,"Shall the School District of Colby, Clark and Marathon Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in the amount not to exceed $17,770,000 for the public purpose of paying the cost of a district-wide school facility improvement project consisting of: renovations, creation of safe and secure entrances, capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures, and equipment?",
22,6032,Issue Debt,,1162,Colby School District,"Tuesday, November 5, 2024"," $ 7,720,000.00 ",Brian Zaleski,1666,1070,Passed,,,Question #2 - Fall 2024 Referendum - monies from this question would focus on creating an addition to our Elementary building and allow us to move several grades of students around all levels of our buildings.,"Shall the School District of Colby, Clark and Marathon Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $7,720,000 for the public purpose of paying the cost of a school building and facility improvement project at the Elementary School consisting of:  construction of an addition and renovations, including for classrooms, music and art spaces and to reconfigure grade levels; and acquisition of furnishings, fixtures and equipment?",
23,5943,Issue Debt,,1232,Crivitz School District,"Tuesday, November 5, 2024"," $ 29,000,000.00 ",Kelly Robinson,2491,1745,Passed,,,Capital improvements to elementary/middle/high school buildings. ,"Renovations at the elementary school, including classrooms, a secure entrance/office and the library; construction of an addition and renovations at the Middle/High School for technical education; district-wide capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment. ",
24,6043,Recurring Referendum,,1246,Cuba City School District,"Tuesday, Novermber 5, 2024"," $ 1,800,000.00 ",Heather Droessler,1375,1492,Failed,,,Recurring Referendum,"BE IT RESOLVED by the School Board of the School District of Cuba City, Grant and Lafayette Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $500,000 for the 2024-2025 school year; by an additional $400,000 (for a total of $900,000) for the 2025-2026 school year; by an additional $200,000 (for a total of $1,100,000) for the 2026-2027 school year; by an additional $350,000 (for a total of $1,450,000) for the 2027-2028 school year; and by an additional $350,000 for the 2028-2029 school year (for a total of $1,800,000) and to remain at that amount thereafter), for recurring purposes consisting of operational and maintenance expenses.",
25,5962,Issue Debt,,1253,Cudahy School District,"Tuesday, November 5, 2024"," $ 12,000,000.00 ",Brian Dasher,5590,3301,Passed,,,"Initial Resolution Authorizing General Obligation Bonds in an Amount Not to Exceed $12,000,000","BE IT RESOLVED by the School Board of the School District of Cudahy, Milwaukee County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $12,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: district-wide capital maintenance, safety, security, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.",
26,5963,Non-Recurring Referendum,,1253,Cudahy School District,"Tuesday, November 5, 2024"," $ 10,400,000.00 ",Brian Dasher,5350,3614,Passed,,,"Resolution Authorizing the School District Budget to Exceed Revenue Limit by $5,200,000 Per Year for Two Years for Non-Recurring Purposes","BE IT RESOLVED by the School Board of the School District of Cudahy, Milwaukee County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $5,200,000 per year for two years, beginning with the 2025-2026 school year and ending with the 2026-2027 school year, for non-recurring purposes consisting of expenses to maintain operations and educational programming and for staff compensation.",
27,5944,Non-Recurring Referendum,,1295,Darlington Community School District,"Tuesday, November 5, 2024"," $ 9,500,000.00 ",Sheila Andrews,1267,1135,Passed,,,"RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $1,900,000 PER YEAR FOR FIVE YEARS FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the Darlington Community School District, Lafayette County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,900,000 per year for five years beginning with the 2026-2027 school year and ending with the 2030-2031 school year to continue the approval for non-recurring programming and operational purposes.",
28,6053,Recurring Referendum,,1316,De Forest Area School District,"Tuesday, November 5, 2024"," $ 7,900,000.00 ",Kathy Davis-Phillips,8270,6554,Passed,,,"Resolution to exceed the revenue limit for recurring purposes in the amount of $7,900,000 beginning in the 2025-26 school year.","Shall the Deforest Area School District, Columbia and Dane Counties, Wisconsin, be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, on a recurring basis by $7,900,000 beginning in the 2025-2026 school year to support instructional programming, retain staff, and maintain facilities?",
29,6041,Issue Debt,,1414,De Pere School District,"Tuesday, November 5, 2024"," $ 22,000,000.00 ",Dawn Foeller,10103,5128,Passed,,,This referendum is be placed on the ballot for consideration for critical maintenance items for District Buildings,"This referendum is for the purpose of performing critical maintenance on the six school buildings and properties in the areas of school safety, building infrastructure and site repairs.",
30,6008,Non-Recurring Referendum,,1421,De Soto Area School District,"Tuesday, November 5, 2024"," $ 5,500,000.00 ",Cherryl Knowles,1257,1475,Failed,,,3-year non-recurring referendum for maintaining education and operational services.,"Shall the De Soto Area School District, Vernon and Crawford Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,500,000 for the 2024-2025 school year, by $1,900,000 for the 2025-2026 school year and by $2,100,000 for 2026-2027 school year, for non-recurring purposes consisting of maintaining educational and operational services?",
31,6071,Non-Recurring Referendum,,1428,Dodgeville School District,"Tuesday, November 5, 2024"," $ 11,960,000.00 ",Ryan Bohnsack,2442,2555,Failed,,,District Non-Recurring Operations,"BE IT RESOLVED by the School Board of the Dodgeville School District, Iowa County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,990,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses, including educational programming.",
32,6042,Issue Debt,,1540,East Troy Community School District,"Tuesday, November 5, 2024"," $ 19,400,000.00 ",Amy Jenquin,4269,3922,Passed,,,"Bonds in the amount of 19,400,000 for capital maintenance, safety, security, renovations, building infrastructure and stie improvements.","BE IT RESOLVED by the School Board of the East Troy Community School District, Walworth and Waukesha Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $19,400,000 for the public purpose of paying the cost of a school facility improvement project consisting of: capital maintenance, safety, security, renovations, building infrastructure and site improvements at the High School, Middle School and Prairie View Elementary School; improvements to the bus garage and site; and acquisition of furnishings, fixtures and equipment.",
33,5998,Non-Recurring Referendum,,1554,Eau Claire Area School District,"Tuesday, November 5, 2024"," $ 72,000,000.00 ",Terri Grzyb,31914,18133,Passed,,,"Resolution Authorizing the School District Budget to Exceed Revenue Limit by $18,000,000 Per Year for Four Years for Non-Recurring Purposes","Shall the Eau Claire Area School District, Eau Claire, Chippewa and Dunn Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $18,000,000 for the 2024-2025 school year and for each of the succeeding 3 school years thereafter, for non-recurring purposes to fund operating costs to ensure stability of educational programs, including elementary reading; behavioral and mental health resources for students; school safety; and to sustain student to staff ratios?",
34,6015,Issue Debt,,1631,Elkhart Lake-Glenbeulah School District,"Tuesday, November 5, 2024"," $ 39,600,000.00 ",Adam Engelbretson,1447,1241,Passed,,,"Shall the School District of Elkhart Lake-Glenbeulah, Sheboygan County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $39,600,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions and renovations at the High School building, including for a middle school wing, gymnasium, commons and music area and a secure entrance and office; renovations at the current Middle School building for relocation of elementary school students; demolition of a portion of the existing Elementary School building; district-wide capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment?","Shall the School District of Elkhart Lake-Glenbeulah, Sheboygan County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $39,600,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions and renovations at the High School building, including for a middle school wing, gymnasium, commons and music area and a secure entrance and office; renovations at the current Middle School building for relocation of elementary school students; demolition of a portion of the existing Elementary School building; district-wide capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment?",
35,5948,Recurring Referendum,,1638,Elkhorn Area School District,"Tuesday, November 5, 2024"," $ 7,000,000.00 ",William Trewyn,3145,4762,Failed,,,"BE IT RESOLVED by the School Board of the Elkhorn Area School District, Walworth County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,800,000 for the 2024-2025 school year; by an additional $1,800,000 (for a total of $3,600,000) for the 2025-2026 school year; by an additional $1,700,000 (for a total of $5,300,000) for the 2026-2027 school year; and by an additional $1,700,000 (for a total of $7,000,000) for the 2027-2028 school year and thereafter, for recurring purposes consisting of expenses related to maintaining current instructional programs and class sizes, staffing, ongoing safety, and facility maintenance.","BE IT RESOLVED by the School Board of the Elkhorn Area School District, Walworth County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,800,000 for the 2024-2025 school year; by an additional $1,800,000 (for a total of $3,600,000) for the 2025-2026 school year; by an additional $1,700,000 (for a total of $5,300,000) for the 2026-2027 school year; and by an additional $1,700,000 (for a total of $7,000,000) for the 2027-2028 school year and thereafter, for recurring purposes consisting of expenses related to maintaining current instructional programs and class sizes, staffing, ongoing safety, and facility maintenance.",
36,6007,Non-Recurring Referendum,,1694,Evansville Community School District,"Tuesday, November 5, 2024"," $ 8,700,000.00 ",Nathan Perry,3494,2704,Passed,,,"Non-recurring Referendum for 3 years, at $2.9M per year","Question:  Shall the Evansville Community School District, Rock, Green and Dane Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,900,000 per year for three years, beginning with the 2024-2025 school year and ending with the 2026-2027 school year, for non-recurring purposes consisting of operational and maintenance expenses, including to provide student resources and educational programming and to address facility maintenance?",
37,6052,Issue Debt,,1736,Fall River School District,"Tuesday, November 5, 2024"," $ 9,850,000.00 ",Dennis Birr,999,801,Passed,,,"The district is going to a capital referendum to improve building security, build an addition for career & technical education shop and classrooms, and make improvements of the pool.","BE IT RESOLVED by the School Board of the School District of Fall River, Columbia and Dodge Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $850,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses to maintain programs, staffing and class sizes, for facility maintenance and site improvements, and to update technology.",
38,6051,Non-Recurring Referendum,,1736,Fall River School District,"Tuesday, November 5, 2024"," $ 3,400,000.00 ",Dennis Birr,1131,676,Passed,,,"The district is looking to go to an operational referendum to maintain current program offerings, services and staffing for students.","BE IT RESOLVED by the School Board of the School District of Fall River, Columbia and Dodge Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $850,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses to maintain programs, staffing and class sizes, for facility maintenance and site improvements, and to update technology.",
39,5947,Non-Recurring Referendum,,1855,Florence County School District,"Tuesday, November 5, 2024"," $ 11,800,000.00 ",Lisa Novak,1597,1488,Passed,,,Non-recurring referendum for 4 years,"BE IT RESOLVED by the School Board of the School District of Florence County, Florence County, Wisconsin, that the final school district budget shall include the amounts set forth below in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes each year for a period of four years on a non-recurring basis for the purpose of paying the District operation and maintenance costs as follows: $2,500,000 for the 2025-26 school year, $2,800,000 for the 2026-27 school year, $3,100,000 for the 2027-28 school year and $3,400,000 for the 2028-29 school year.",
40,5926,Issue Debt,,1900,Franklin Public School District,"Tuesday, November 5, 2024"," $ 145,000,000.00 ",Andrew Chromy,9811,7954,Passed,,,"School facility improvement project consisting of:  Americans with Disabilities Act compliance updates, capital maintenance, building systems, safety, security and site improvements at the Elementary Schools and Franklin High School; construction of additions and renovations at Franklin High School, including for technical education space improvements, classroom and special education areas, science lab improvements, new indoor physical education spaces and a field house, a pool, and tennis courts; and acquisition of furnishings, fixtures and equipment.","Shall the Franklin Public School District, Milwaukee County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $145,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  Americans with Disabilities Act compliance updates, capital maintenance, building systems, safety, security and site improvements at the Elementary Schools and Franklin High School; construction of additions and renovations at Franklin High School, including for technical education space improvements, classroom and special education areas, science lab improvements, new indoor physical education spaces and a field house, a pool, and tennis courts; and acquisition of furnishings, fixtures and equipment?",
41,5894,Non-Recurring Referendum,,1939,Frederic School District,"Tuesday, November 5, 2024"," $ 4,000,000.00 ",Kyle Luedtke,1120,1024,Passed,,,"Exceed the revenue limit by an amount not to exceed $1,070,000 on a non-recurring basis for four years beginning with the 2024-25 school year for operational expenses, staffing and maintenance costs.","BE IT RESOLVED by the School Board of the Frederic School District, Polk and Burnett Counties, Wisconsin, that, in order to sustain resources supporting student learning, the final school district budget shall include an amount not to exceed $1,070,000 in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes on a non-recurring basis for a period of four years beginning with the 2024-25 school year and ending with the 2027-28 school year for the purpose of paying District operation, staffing and maintenance costs.",
42,6035,Non-Recurring Referendum,,2184,Glendale-River Hills School District,"Tuesday, November 5, 2024"," $ 9,000,000.00 ",Michelle Brown,5156,3367,Passed,,,"Two year non-recurring operational referendum to exceed the revenue limit by $4,500,000 for the 2024-25 and 2025-26 year","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $4,500,000 PER YEAR FOR TWO YEARS FOR NON-RECURRING PURPOSES",
