OriginalReferendumId,ReferendumTypeCode,PrimaryContactId,AgencyCode,AgencyName,VoteDate, Amount ,ReferendaContact,YesVotes,NoVotes,ReferendumStatusCode,IsCertificationReceived,IsDpiReviewed,BriefDescription,FullDescription,ModifiedDate
5856,Issue Debt,1030,870,Cadott Community School District,"Tuesday, April 2, 2024"," $ 25,400,000.00 ",Susan Shakal,591,1079,Failed,FALSE,FALSE,Public purpose of paying the cost of a school building and facility improvement projects,"INITIAL RESOLUTION AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $25,400,000

BE IT RESOLVED by the School Board of the School District of Cadott Community, Chippewa and Eau Claire Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $25,400,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction and/or renovations at the Junior/Senior High School, including for a secure entrance area, a gymnasium and a fitness center; construction and/or renovations for technical education and an early childhood learning center; construction of and/or improvements to athletic fields; playground updates at the Elementary School; district-wide capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.

Adopted and recorded January 8, 2024.",1/10/24 9:18
5837,Non-Recurring Referendum,8848,882,Cambria-Friesland School District,"Tuesday, April 2, 2024"," $ 7,500,000.00 ",David Dude,356,184,Passed,FALSE,FALSE,To exceed the revenue limit for non-recurring purposes  for the purpose of meeting operational expenses.,"BE IT RESOLVED by the School Board of the School District of Cambria-Friesland that it shall include revenue in its budget for the 2024-2025 school year and through the 2025-2026 and 2026-2027 school years a sum not to exceed $2,500,000 per school year in excess of the revenue limits set forth in Wis. Stat. § 121.91 for the purpose of meeting operational expenses. The total aggregate amount of additional authorized revenue limit authority over the three school years if the electors authorize the referendum shall be $7,500,000.",12/19/23 14:21
5872,Non-Recurring Referendum,8878,1092,Chippewa Falls Area Unified School District,"Tuesday, April 2, 2024"," $ 7,500,000.00 ",Angela Feils,4136,3633,Passed,FALSE,FALSE,"RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $2,500,000 PER YEAR FOR THREE YEARS FOR NON-RECURRING PURPOSES","BE IT RESOLVED by the School Board of the Chippewa Falls Area Unified School District, Chippewa and Eau Claire Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,500,000 per year for three years, beginning with the 2024-2025 school year and ending with the 2026-2027 school year, for non-recurring purposes consisting of operational and maintenance expenses to maintain staffing levels, programs, services and facilities.",1/12/24 11:23
5902,Non-Recurring Referendum,1030,1246,Cuba City School District,"Tuesday, April 2, 2024"," $ 7,100,000.00 ",Heather Droessler,512,658,Failed,FALSE,FALSE,Non-recurring Referendum for 4 years,"Be it resolved by the School Board of the School District of Cuba City, Grant and Lafayette Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,300,000 for the 2024-2025 school year, by $1,600,000 for the 2025-2026 school year, by $1,900,000 for the 2026-2027 school year, and by $2,300,000 for the 2027-2028 school year, for non-recurring purposes consisting of operational and maintenance expenses, including to maintain current staffing levels.",1/29/2024 14:18
5818,Issue Debt,7285,1260,Cumberland School District,"Tuesday, February 20, 2024"," $ 32,950,000.00 ",Makenna Rademacher,957,696,Passed,FALSE,FALSE,"BE IT RESOLVED by the School Board of the Cumberland School District, Barron, Polk and Burnett Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $32,950,000 for the public purpose of paying the cost of a school addition and improvement project at the High School/Middle School campus to include: renovations and construction of academic spaces and support areas; partial removal of the current High School building; safety, security, technology, capital maintenance and building infrastructure improvements; ADA accessibility updates; site improvements; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Cumberland School District, Barron, Polk and Burnett Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed
$32,950,000 for the public purpose of paying the cost of a school addition and improvement project at the High School/Middle School campus to include: renovations and construction of academic spaces and support areas; partial removal of the current High School building; safety, security, technology, capital maintenance and building infrastructure improvements; ADA accessibility updates; site improvements; and acquisition of furnishings, fixtures and equipment.",11/30/23 9:17
5868,Non-Recurring Referendum,749,1414,De Pere School District,"Tuesday, April 2, 2024"," $ 23,750,000.00 ",Dawn Foeller,3773,2873,Passed,FALSE,FALSE,"Resolution authorizing the School District of De Pere Budget to exceed revenue limit by $4,750,000 per year for five years for non-recurring purposes","Be it resolved by the School Board of the Unified School District of De Pere, Brown County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $4,750,000 per year for five years, beginning with the 2024-2025 school year and ending with the 2028-2029 school year, for non-recurring purposes consisting of operational and maintenance expenses.",1/29/2024 13:02
5904,Non-Recurring Referendum,330,1421,De Soto Area School District,"Tuesday, April 2, 2024"," $ 4,800,000.00 ",Cherryl Knowles,493,1027,Failed,FALSE,FALSE,"Non-recurring $1,200,000 per year for 2024-25 through 2027-2028 for maintaining education and operational services.","Shall the De Soto Area School District, Vernon and Crawford Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, for non-recurring purposes by $1,200,000 per year for maintaining educational and operational services, for the 2024-2025 school year through the 2027-2028 school year?",1/22/24 13:19
5863,Issue Debt,8875,1491,Drummond Area School District,"Tuesday, April 2, 2024"," $ 29,980,000.00 ",Melissa Dahl,908,752,Passed,FALSE,FALSE,"CTE/Tech Ed addition and remodel.
HVAC and electrical system upgrade and replacement.
Exterior building envelope repair and site repair to prevent flooding.
Remodel areas throughout the building to update the educational spaces and comply with Americans with Disabilities Act (ADA) -- restrooms included.
Creation of a secure entrance to control visitor access.
Furniture, fixtures and equipment.","BE IT RESOLVED by the School Board of the Drummond Area School District, Bayfield and Douglas Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $29,980,000 for the public purpose of paying the cost of a school building and facility improvement project at the school building and site consisting of: construction of additions for career and technical education and a safe and secure entrance area; renovations, capital maintenance, building infrastructure, systems and site improvements; classroom updates, including science lab upgrades; and acquisition of furnishings, fixtures and equipment.",1/11/24 11:03
5862,Non-Recurring Referendum,8875,1491,Drummond Area School District,"Tuesday, April 2, 2024"," $ 4,800,000.00 ",Melissa Dahl,1004,662,Passed,FALSE,FALSE,"Current programs and services for students.
18 students:1 teacher ratio, especially at the elementary levels.
Course offerings (such as career & tech ed, agriculture, fine arts, Spanish, and more).","BE IT RESOLVED by the School Board of the Drummond Area School District, Bayfield and Douglas Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,200,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational expenses, including to maintain current programs and services for students.",1/11/24 10:59
5864,Recurring Referendum,446,1568,Edgerton School District,"Tuesday, April 2, 2024"," $ 3,500,000.00 ",Stefanie Johnson,1967,1356,Passed,FALSE,FALSE,"RESOLUTION AUTHORIZING THE SCHOOL
DISTRICT BUDGET TO EXCEED REVENUE LIMIT
BY $3,500,000 FOR RECURRING PURPOSES
","In the event a majority of the electors voting on the question vote ""yes"", the District will be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $3,500,000 beginning with the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses.",1/11/24 15:11
5881,Non-Recurring Referendum,8789,1631,Elkhart Lake-Glenbeulah School District,"Tuesday, April 2, 2024"," $ 7,000,000.00 ",Adam Englebretson,672,485,Passed,FALSE,FALSE,"4-year, $7,000,000 for non-recurring purposes consisting of operational and general maintenance expenses","Shall the School Board of the School District of Elkhart Lake-Glenbeulah, Sheboygan County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,750,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational and general maintenance expenses?",1/16/24 13:26
5854,Issue Debt,7248,1659,Ellsworth Community School District,"Tuesday, April 2, 2024"," $ 25,445,000.00 ",Ashley Halverson,1463,1341,Passed,FALSE,FALSE,"School facility improvement projects at the Middle and High Schools consisting of: construction of additions and renovations, including for physical education, fitness, career and technical education spaces: capital maintenance, building infrastructure, systems and site improvements: and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Ellsworth Community School District, Pierce County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $25,445,000 for the public purpose of paying the cost of a school facility improvement project at the Middle and High Schools consisting of: construction of additions and renovations, including for physical education, fitness, career and technical education spaces: capital maintenance, building infrastructure, systems and site improvements: and acquisition of furnishings, fixtures and equipment.",1/9/24 10:30
5890,Non-Recurring Referendum,6188,1694,Evansville Community School District,"Tuesday, April 2, 2024"," $ 22,300,000.00 ",Tom Parsons,1431,1504,Failed,FALSE,FALSE,"Five year referendum for non-recurring purposes consisting of operational and maintenance expenses, including to maintain current class sizes, to provide student resources, to maintain educational programming, sa l aries, and benefits, and to address facility maintenance","Question: Shall the Evansville Community School District, Rock, Green and Dane Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,700,000 for the 2024-2025 school year, by $3,900,000 for the 2025-2026 school year, by $4,600,000 for the 2026-
2027 school year, by $5,200,000 for the 2027-2028 school year, and by $5,900,000 for the 2028-2029
school year, for non-recurring purposes consisting of operational and maintenance expenses, including to maintain current class sizes, to provide student resources, to maintain educational programming, sa l aries, and benefits, and to address facility maintenance?",1/17/24 19:04
5903,Issue Debt,8885,1813,Fennimore Community School District,"Tuesday, April 2, 2024"," $ 17,000,000.00 ",Jane Wonderling,669,348,Passed,FALSE,FALSE,"Paying the cost of a school facility improvement project consisting of: district-wide capital maintenance, ADA accessibility updates and renovations, building systems, technology and site improvements; construction of an addition for career and technical education and renovations at the Middle/High School; lighting updates to the athletic fields; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Fennimore Community School District, Grant County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $17,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: district-wide capital maintenance, ADA accessibility updates and renovations, building systems, technology and site improvements; construction of an addition for career and technical education and renovations at the Middle/High School; lighting updates to the athletic fields; and acquisition of furnishings, fixtures and equipment.",1/22/24 11:49
5877,Non-Recurring Referendum,660,1883,Fort Atkinson School District,"Tuesday, April 2, 2024"," $ 19,500,000.00 ",Nathan Knitt,2363,2284,Passed,FALSE,FALSE,"Non-recurring referendum for $6,500,000 per year for 3 years (FY25-27)","BE IT RESOLVED by the School Board of the School District of Fort Atkinson, Jefferson and Rock Counties, Wisconsin, that the final school district budget beginning with the 2024-25 school year shall include an amount not to exceed $6,500,000 each year on a non-recurring basis for a period of three years through the 2026-27 school year in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes for the purpose of paying District operating costs.",1/16/24 9:30
5894,Non-Recurring Referendum,8879,1939,Frederic School District,"Tuesday, April 2, 2024"," $ 4,280,000.00 ",Joshua Robinson,437,547,Failed,FALSE,FALSE,"Exceed the revenue limit by an amount not to exceed $1,070,000 on a non-recurring basis for four years beginning with the 2024-25 school year for operational expenses, staffing and maintenance costs.","BE IT RESOLVED by the School Board of the Frederic School District, Polk and Burnett Counties, Wisconsin, that, in order to sustain resources supporting student learning, the final school district budget shall include an amount not to exceed $1,070,000 in excess of the revenue limits imposed by Section 121.91 of the Wisconsin Statutes on a non-recurring basis for a period of four years beginning with the 2024-25 school year and ending with the 2027-28 school year for the purpose of paying District operation, staffing and maintenance costs.",1/19/24 10:57
5886,Issue Debt,451,1953,Freedom Area School District,"Tuesday, April 2, 2024"," $ 62,500,000.00 ",Maggie Gagnon,1910,1225,Passed,FALSE,FALSE,Additions and renovations to current Middle-High School.,"Be it resolved by the School Board of the Freedom Area School District, Outagamie County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $62,500,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions and/or renovations at the Middle-High School, including for technical education, music education, classrooms/labs, safety improvements, a cafeteria/kitchen and a fitness center; construction of a greenhouse for agriculture education; district-wide capital maintenance and site improvements; and acquisition of furnishing, fixtures and equipment.",1/16/24 17:30
5833,Issue Debt,257,2217,Grafton School District,"Tuesday, April 2, 2024"," $ 11,140,000.00 ",Christopher Adams,2903,1938,Passed,FALSE,FALSE,"Issue General Obligation Bonds in an amount not to exceed $11,140,000 for the public purpose of paying the cost of the construction of an addition, renovations, building infrastructure and site improvements at John Long Middle School, including acquisition of furnishings, fixtures and equipment.","WHEREAS, the School Board of the School District of Grafton, Ozaukee County, Wisconsin (the ""District""), has heretofore duly adopted a resolution entitled:  ""Initial Resolution Authorizing General Obligation Bonds in an Amount Not to Exceed $11,140,000"" (the ""Initial Resolution""); and

WHEREAS, the School Board deems it to be desirable and in the best interest of the District to direct the District Clerk to submit the Initial Resolution to the electors for approval or rejection at the regularly scheduled election to be held on April 2, 2024.

NOW, THEREFORE, BE IT RESOLVED by the School Board of the District as follows:
Section 1.  Referendum Election Date.  The District Clerk is hereby directed to call a referendum election to be held in the District at the regularly scheduled election to be held on April 2, 2024 for the purpose of submitting to the qualified electors of the District the proposition of whether the Initial Resolution shall be approved.
Section 2.  Notice to Electors.  The District Clerk is directed to give notice by:
(a)	causing a Notice to Electors in substantially the form attached hereto as Exhibit A to be published in the News Graphic within ten days after the date hereof.
(b)	causing a Notice of Election in substantially the form attached hereto as Exhibit B to be published in the News Graphic in the issue published on the fourth Tuesday before the referendum election. 
(c)	causing a Notice of Referendum (which includes the facsimile of the sample ballot) in substantially the form attached hereto as Exhibit C to be published in the News Graphic in the issue published immediately preceding the referendum election.  This Notice shall also be posted in each polling place on election day.
If any of the municipalities within the District use an electronic voting system employing a ballot label and ballot card, the Notice of Referendum set forth in Exhibit C shall also include a true, actual-size copy of the ballot label and ballot card in the form in which they will appear on election day.
Section 3.  Polling Places and Hours.  The District electors must vote at the referendum election at the times and polling places at which they cast their ballots in regularly scheduled elections.
Section 4.  Referendum Election Officials.  The election officials appointed in each of the municipalities within the District shall conduct the election.
Section 5.  Official Referendum Ballot Form.  The ballot to be used at the referendum election shall be prepared in accordance with the provisions of Sections 5.64(2) and 7.08(1)(a), Wisconsin Statutes.  The ballot shall be substantially in the form attached hereto as Exhibit D.
The District Clerk shall cause to be printed sufficient ballots for use at said referendum election, both as actual ballots in those polling places which do not use voting machines and as absentee ballots where voting machines are used and as specimen ballots (the latter to be of a different and easily identifiable color from the actual ballot).  The form of the ballot shall be filed with the official responsible for providing the ballots for the election, and the District Clerk shall file a copy of the ballot with the clerk of each county having territory within the District, as soon as possible after the date hereof but in no event later than 70 days prior to the election, as provided in Section 8.37, Wisconsin Statutes.  If the District prepares the ballots, they should be delivered to the municipal clerks running the election at least 25 days prior to the election, to allow the municipal clerks to comply with their obligation to provide absentee ballots under Section 7.15, Wisconsin Statutes.
The municipal clerks of the municipalities within the District shall receive applications for absentee ballots and initial the same when issued to qualified absentee voters.
Section 6.  Canvass.  The returns of the referendum election shall be canvassed by the Board of Canvassers of each municipality within the District.  Each Board of Canvassers shall certify the returns of the referendum election to the District Clerk.  The District Clerk and two other reputable citizens appointed by the District Clerk prior to the date of the referendum election shall act as the District's Board of Canvassers for this referendum election.  This Board of Canvassers shall meet in open session no later than 9:00 a.m. on the Tuesday after the election to determine the result of the referendum election.  The canvass shall be open to the public and the District Clerk is directed to give due notice of said meeting.
Section 7.  DPI Notice.  Pursuant to the provisions of Section 120.115(1), Wisconsin Statutes, the District Clerk shall notify the Department of Public Instruction of the date of the referendum election and shall provide the Department with copies of the Initial Resolution within 10 days after the adoption of the Initial Resolution and shall further notify the Department of the results of the referendum within 10 days following the election using the method prescribed by the Department.

Adopted and recorded December 18, 2023.",12/19/23 8:56
5848,Non-Recurring Referendum,8856,2310,Green Lake School District,"Tuesday, April 2, 2024"," $ 7,400,000.00 ",Karen Werlein,485,452,Passed,FALSE,FALSE,"For non-recurring purposes consisting of operational costs to maintain instruction programs, staffing, technology and facilities.","BE IT RESOLVED by the School Board of the School District of Green Lake, Green Lake County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,400,000 for the 2024-2025 school year, by $1,800,000 for the 2025-2026 school year, by $2,000,000 for the 2026-2027 school year, and by $2,200,000 for the 2027-2028 school year, for non-recurring purposes consisting of operational costs to maintain instruction programs, staffing, technology and facilities.",1/2/24 8:09
5814,Non-Recurring Referendum,8,2296,Greendale School District,"Tuesday, April 2, 2024"," $ 12,500,000.00 ",Jonathan Mitchell,2507,1725,Passed,FALSE,FALSE,"Non-Recurring Operational Referendum for operational and maintenance expenses of $2,500,000 per year for five years.","BE IT RESOLVED by the School Board of the Greendale School District, Milwaukee
County, Wisconsin that the revenues included in the School District budget be authorized to
exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,500,000 per year for five years, beginning with the 2024-2025 school year and ending with the 2028-2029 school year, for non-recurring purposes consisting of operational and maintenance expenses.",11/14/23 14:19
5917,Non-Recurring Referendum,,2394,Greenwood School District,"Tuesday, April 2, 2024"," $ 5,100,000.00 ",Joe Green,470,323,Passed,,,a 4 year operational referendum for non-recurring purposes.,"Shall the School District of Greenwood, Clark County, Wisconsin be authorized to exceed
 
 the revenue limit specified in Section 121.91, Wisconsin Statutes, by $225,000 for the 2024-2025
 
 school year, by $1,525,000 for the 2025-2026 school year, by $1,625,000 for the 2026-2027 school
 
 year and by $1,725,000 for the 2027-2028 school year, for non-recurring purposes?",1/30/2024 13:08
5876,Recurring Referendum,335,2420,Hamilton School District,"Tuesday, April 2, 2024"," $ 7,600,000.00 ",Gwendolyn Husslein,4804,4307,Passed,FALSE,FALSE,"Exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $7,600,000 beginning with the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses, including to maintain current class sizes, staffing levels, academic programs, course offerings and services.","BE IT RESOLVED by the School Board of the Hamilton School District, Waukesha County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $7,600,000 beginning with the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses, including to maintain current class sizes, staffing levels, academic programs, course offerings and services.",1/15/24 10:04
5875,Issue Debt,335,2420,Hamilton School District,"Tuesday, April 2, 2024"," $ 25,000,000.00 ",Gwendolyn Husslein,5010,4080,Passed,FALSE,FALSE,"District-wide safety and site improvements, building updates and capital maintenance; renovations, including for technical education, science and art classrooms at Hamilton High School and construction of an addition to the cafeteria/commons area; renovations at Templeton Middle School; renovations and construction of an addition at Lannon Elementary School; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Hamilton School District, Waukesha County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $25,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of: district-wide safety and site improvements, building updates and capital maintenance; renovations, including for technical education, science and art classrooms at Hamilton High School and construction of an addition to the cafeteria/commons area; renovations at Templeton Middle School; renovations and construction of an addition at Lannon Elementary School; and acquisition of furnishings, fixtures and equipment.",1/15/24 10:02
5816,Issue Debt,5795,2525,Herman-Neosho-Rubicon School District,"Tuesday, April 2, 2024"," $ 23,000,000.00 ",Tony Brazouski,304,1646,Failed,FALSE,FALSE," Shall the Herman-Neosho-Rubicon School District, Dodge and Washington Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $23,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions, renovations, building infrastructure and site improvements, and acquisition of furnishings, fixtures, and equipment to create a single campus at the current intermediate site?"," Shall the Herman-Neosho-Rubicon School District, Dodge and Washington Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $23,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of additions, renovations, building infrastructure and site improvements, and acquisition of furnishings, fixtures, and equipment to create a single campus at the current intermediate site?",12/13/23 9:57
